Prior input/output:
( 0.746987951807 , 1.0 )
( 0.751004016064 , 1.0 )
( 0.755020080321 , 1.0 )
( 0.759036144578 , 1.0 )
( 0.763052208835 , 1.0 )
( 0.767068273092 , 1.0 )
( 0.771084337349 , 1.0 )
( 0.775100401606 , 1.0 )
( 0.779116465863 , 1.0 )
( 0.78313253012 , 1.0 )
( 0.787148594378 , 1.0 )
( 0.791164658635 , 1.0 )
( 0.795180722892 , 1.0 )
( 0.799196787149 , 1.0 )
( 0.803212851406 , 1.0 )
( 0.807228915663 , 1.0 )
( 0.81124497992 , 1.0 )
( 0.815261044177 , 1.0 )
( 0.819277108434 , 1.0 )
( 0.823293172691 , 1.0 )
( 0.827309236948 , 1.0 )
( 0.831325301205 , 1.0 )
( 0.835341365462 , 1.0 )
( 0.839357429719 , 1.0 )
( 0.843373493976 , 1.0 )
( 0.847389558233 , 1.0 )
( 0.85140562249 , 1.0 )
( 0.855421686747 , 1.0 )
( 0.859437751004 , 1.0 )
( 0.863453815261 , 1.0 )
( 0.867469879518 , 1.0 )
( 0.871485943775 , 1.0 )
( 0.875502008032 , 1.0 )
( 0.879518072289 , 1.0 )
( 0.883534136546 , 1.0 )
( 0.887550200803 , 1.0 )
( 0.89156626506 , 1.0 )
( 0.895582329317 , 1.0 )
( 0.899598393574 , 1.0 )
( 0.903614457831 , 1.0 )
( 0.907630522088 , 1.0 )
( 0.911646586345 , 1.0 )
( 0.915662650602 , 1.0 )
( 0.919678714859 , 1.0 )
( 0.923694779116 , 1.0 )
( 0.927710843373 , 1.0 )
( 0.931726907631 , 1.0 )
( 0.935742971888 , 1.0 )
( 0.939759036145 , 1.0 )
( 0.943775100402 , 1.0 )
( 0.947791164659 , 1.0 )
( 0.951807228916 , 1.0 )
( 0.955823293173 , 1.0 )
( 0.95983935743 , 1.0 )
( 0.963855421687 , 1.0 )
( 0.967871485944 , 1.0 )
( 0.971887550201 , 1.0 )
( 0.975903614458 , 1.0 )
( 0.979919678715 , 1.0 )
( 0.983935742972 , 1.0 )
( 0.987951807229 , 1.0 )
( 0.991967871486 , 1.0 )
( 0.995983935743 , 1.0 )
( 1.0 , 1.0 )

Posterior input/output:
( 0.0 , 0.502373999769 )
( 0.00401606425703 , 0.44057671346 )
( 0.00803212851406 , 0.384847831098 )
( 0.0120481927711 , 0.334854796189 )
( 0.0160642570281 , 0.290237572277 )
( 0.0200803212851 , 0.250618310645 )
( 0.0240963855422 , 0.215610148796 )
( 0.0281124497992 , 0.184825009144 )
( 0.0321285140562 , 0.157880319714 )
( 0.0361445783133 , 0.134404626618 )
( 0.0401606425703 , 0.11404211009 )
( 0.0441767068273 , 0.0964560508761 )
( 0.0481927710843 , 0.0813313212984 )
( 0.0522088353414 , 0.0683759953185 )
( 0.0562248995984 , 0.0573221847982 )
( 0.0602409638554 , 0.0479262155744 )
( 0.0642570281124 , 0.039968257815 )
( 0.0682730923695 , 0.0332515214221 )
( 0.0722891566265 , 0.0276011200383 )
( 0.0763052208835 , 0.0228626975046 )
( 0.0803212851406 , 0.0189008993472 )
( 0.0843373493976 , 0.0155977598579 )
( 0.0883534136546 , 0.0128510632401 )
( 0.0923694779116 , 0.0105727256691 )
( 0.0963855421687 , 0.00868723433703 )
