Mean vec: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.039331272346430524 )
( 0.008032128514056224 , 0.07836219575892756 )
( 0.012048192771084336 , 0.11704634017834792 )
( 0.01606425702811245 , 0.15533485879137743 )
( 0.020080321285140562 , 0.19317730581715864 )
( 0.024096385542168672 , 0.2305222589495486 )
( 0.028112449799196783 , 0.26731785502124694 )
( 0.0321285140562249 , 0.30351228547226583 )
( 0.03614457831325301 , 0.3390542804078507 )
( 0.040160642570281124 , 0.37389360542326244 )
( 0.04417670682730923 , 0.4079815988239375 )
( 0.048192771084337345 , 0.4412717915627127 )
( 0.05220883534136546 , 0.4737206985892328 )
( 0.056224899598393566 , 0.5052891173827447 )
( 0.06024096385542168 , 0.53594423376137 )
( 0.0642570281124498 , 0.565658984117448 )
( 0.0682730923694779 , 0.5944103174909117 )
( 0.07228915662650602 , 0.6221784104417054 )
( 0.07630522088353413 , 0.648946192612641 )
( 0.08032128514056225 , 0.6746990097701655 )
( 0.08433734939759036 , 0.6994243662186364 )
( 0.08835341365461846 , 0.7231117188406415 )
( 0.09236947791164658 , 0.7457523072344543 )
( 0.09638554216867469 , 0.767339010399553 )
( 0.1004016064257028 , 0.7878662236697664 )
( 0.10441767068273092 , 0.8073297515387594 )
( 0.10843373493975902 , 0.8257267132434265 )
( 0.11244979919678713 , 0.8430554587828567 )
( 0.11646586345381525 , 0.8593154935974212 )
( 0.12048192771084336 , 0.8745074105487447 )
( 0.12449799196787148 , 0.8886328281023168 )
( 0.1285140562248996 , 0.9016943338465353 )
( 0.1325301204819277 , 0.9136954326395426 )
( 0.1365461847389558 , 0.9246404987962649 )
( 0.14056224899598393 , 0.9345347318327413 )
( 0.14457831325301204 , 0.9433841153565936 )
( 0.14859437751004015 , 0.9511953787582001 )
( 0.15261044176706826 , 0.9579759614083798 )
( 0.15662650602409636 , 0.9637339791044894 )
( 0.1606425702811245 , 0.9684781925498953 )
( 0.1646586345381526 , 0.9722179776720736 )
( 0.1686746987951807 , 0.9749632976097757 )
( 0.17269076305220882 , 0.9767246762282014 )
( 0.17670682730923692 , 0.9775131730244198 )
( 0.18072289156626503 , 0.9773403593089824 )
( 0.18473895582329317 , 0.9762182955654737 )
( 0.18875502008032127 , 0.9741595098883238 )
( 0.19277108433734938 , 0.9711769774184518 )
( 0.1967871485943775 , 0.9672841007031536 )
( 0.2008032128514056 , 0.9624946909104608 )
( 0.20481927710843373 , 0.9568229498347023 )
( 0.20883534136546184 , 0.9502834526429638 )
( 0.21285140562248994 , 0.9428911313019057 )
( 0.21686746987951805 , 0.9346612586475942 )
( 0.22088353413654616 , 0.9256094330475833 )
( 0.22489959839357426 , 0.9157515636180449 )
( 0.2289156626506024 , 0.9051038559606184 )
( 0.2329317269076305 , 0.8936827983823719 )
( 0.2369477911646586 , 0.8815051485684648 )
( 0.24096385542168672 , 0.8685879206776121 )
( 0.24497991967871482 , 0.8549483728315863 )
( 0.24899598393574296 , 0.8406039949759077 )
( 0.25301204819277107 , 0.8255724970847496 )
( 0.2570281124497992 , 0.8098717976864975 )
( 0.2610441767068273 , 0.7935200126929658 )
( 0.2650602409638554 , 0.7765354445064361 )
( 0.2690763052208835 , 0.7589365713885456 )
( 0.2730923694779116 , 0.7407420370718967 )
( 0.2771084337349397 , 0.7219706405958846 )
( 0.28112449799196787 , 0.7026413263516815 )
( 0.285140562248996 , 0.6827731743179868 )
( 0.2891566265060241 , 0.6623853904746113 )
( 0.2931726907630522 , 0.6414972973766453 )
( 0.2971887550200803 , 0.6201283248765321 )
( 0.3012048192771084 , 0.5982980009773655 )
( 0.3052208835341365 , 0.5760259428074903 )
( 0.3092369477911646 , 0.5533318476990985 )
( 0.3132530120481927 , 0.530235484359963 )
( 0.31726907630522083 , 0.5067566841244684 )
( 0.321285140562249 , 0.48291533227029504 )
( 0.3253012048192771 , 0.45873135938933274 )
( 0.3293172690763052 , 0.4342247327996347 )
( 0.3333333333333333 , 0.4094154479839176 )
( 0.3373493975903614 , 0.3843235200434947 )
( 0.34136546184738953 , 0.35896897515397086 )
( 0.34538152610441764 , 0.33337184200914294 )
( 0.34939759036144574 , 0.30755214323960445 )
( 0.35341365461847385 , 0.2815298867912759 )
( 0.35742971887550196 , 0.25532505725220744 )
( 0.36144578313253006 , 0.22895760710872537 )
( 0.3654618473895582 , 0.2024474479182743 )
( 0.36947791164658633 , 0.17581444138195934 )
( 0.37349397590361444 , 0.14907839030047398 )
( 0.37751004016064255 , 0.12225902939357525 )
( 0.38152610441767065 , 0.0953760159647743 )
( 0.38554216867469876 , 0.06844892039333672 )
( 0.38955823293172687 , 0.041497216427899275 )
( 0.393574297188755 , 0.014540271260045756 )
