Mean vec: 
( 0.0 , 2.842170943040401e-14 )
( 0.004016064257028112 , 0.04033218957955853 )
( 0.008032128514056224 , 0.08024134741420141 )
( 0.012048192771084336 , 0.11966767689149549 )
( 0.01606425702811245 , 0.15854833438831406 )
( 0.020080321285140562 , 0.19681869715893185 )
( 0.024096385542168672 , 0.23441335180484657 )
( 0.028112449799196783 , 0.2712669684043192 )
( 0.0321285140562249 , 0.30731513557209666 )
( 0.03614457831325301 , 0.34249520949272494 )
( 0.040160642570281124 , 0.3767472320464549 )
( 0.04417670682730923 , 0.4100150005793779 )
( 0.048192771084337345 , 0.44224746924915337 )
( 0.05220883534136546 , 0.473401222677893 )
( 0.056224899598393566 , 0.5034437303864081 )
( 0.06024096385542168 , 0.5323512981313883 )
( 0.0642570281124498 , 0.5601064365675654 )
( 0.0682730923694779 , 0.5866966484503848 )
( 0.07228915662650602 , 0.6121136508270411 )
( 0.07630522088353413 , 0.6363528036185357 )
( 0.08032128514056225 , 0.6594126597321974 )
( 0.08433734939759036 , 0.6812945946034148 )
( 0.08835341365461846 , 0.7020024910084572 )
( 0.09236947791164658 , 0.7215424638890227 )
( 0.09638554216867469 , 0.7399226148368996 )
( 0.1004016064257028 , 0.7571528087626547 )
( 0.10441767068273092 , 0.7732444670050427 )
( 0.10843373493975902 , 0.7882103721701554 )
( 0.11244979919678713 , 0.8020644804824286 )
( 0.11646586345381525 , 0.8148217374633333 )
( 0.12048192771084336 , 0.8264978921946948 )
( 0.12449799196787148 , 0.8371093038741009 )
( 0.1285140562248996 , 0.8466727306599893 )
( 0.1325301204819277 , 0.8552050806795108 )
( 0.1365461847389558 , 0.8627230594118203 )
( 0.14056224899598393 , 0.8692425502314904 )
( 0.14457831325301204 , 0.8747785361774874 )
( 0.14859437751004015 , 0.8793455867531321 )
( 0.15261044176706826 , 0.8829580780764701 )
( 0.15662650602409636 , 0.8856303040072788 )
( 0.1606425702811245 , 0.8873765451722306 )
( 0.1646586345381526 , 0.8882111151567216 )
( 0.1686746987951807 , 0.8881483925759284 )
( 0.17269076305220882 , 0.8872028437423296 )
( 0.17670682730923692 , 0.8853890387390067 )
( 0.18072289156626503 , 0.882721662715312 )
( 0.18473895582329317 , 0.8792155236215251 )
( 0.18875502008032127 , 0.874885557239196 )
( 0.19277108433734938 , 0.8697468301257061 )
( 0.1967871485943775 , 0.8638145409292122 )
( 0.2008032128514056 , 0.857104020418717 )
( 0.20481927710843373 , 0.8496307304914694 )
( 0.20883534136546184 , 0.8414102623677309 )
( 0.21285140562248994 , 0.8324583341225065 )
( 0.21686746987951805 , 0.822790787694899 )
( 0.22088353413654616 , 0.812423585467144 )
( 0.22489959839357426 , 0.8013728064979091 )
( 0.2289156626506024 , 0.7896546424755684 )
( 0.2329317269076305 , 0.7772853934449557 )
( 0.2369477911646586 , 0.7642814633534698 )
( 0.24096385542168672 , 0.7506593554461745 )
( 0.24497991967871482 , 0.7364356675435175 )
( 0.24899598393574296 , 0.7216270872228563 )
( 0.25301204819277107 , 0.7062503869259302 )
( 0.2570281124497992 , 0.690322419001987 )
( 0.2610441767068273 , 0.6738601107061726 )
( 0.2650602409638554 , 0.6568804591519353 )
( 0.2690763052208835 , 0.6394005262420421 )
( 0.2730923694779116 , 0.6214374335636279 )
( 0.2771084337349397 , 0.603008357268493 )
( 0.28112449799196787 , 0.5841305229322558 )
( 0.285140562248996 , 0.5648212003959685 )
( 0.2891566265060241 , 0.5450976985933949 )
( 0.2931726907630522 , 0.5249773603574965 )
( 0.2971887550200803 , 0.5044775572148978 )
( 0.3012048192771084 , 0.483615684156689 )
( 0.3052208835341365 , 0.46240915438932007 )
( 0.3092369477911646 , 0.4408753940612229 )
( 0.3132530120481927 , 0.41903183695949053 )
( 0.31726907630522083 , 0.3968959191787178 )
( 0.321285140562249 , 0.374485073748545 )
( 0.3253012048192771 , 0.35181672522384133 )
( 0.3293172690763052 , 0.3289082842275377 )
( 0.3333333333333333 , 0.30577714193940153 )
( 0.3373493975903614 , 0.2824406645294033 )
( 0.34136546184738953 , 0.25891618752260115 )
( 0.34538152610441764 , 0.23522101009487528 )
( 0.34939759036144574 , 0.2113723892858559 )
( 0.35341365461847385 , 0.18738753412496578 )
( 0.35742971887550196 , 0.16328359966095718 )
( 0.36144578313253006 , 0.13907768088198225 )
( 0.3654618473895582 , 0.11478680652217577 )
( 0.36947791164658633 , 0.09042793273749794 )
( 0.37349397590361444 , 0.06601793664509614 )
( 0.37751004016064255 , 0.041573609705920944 )
( 0.38152610441767065 , 0.01711165094606315 )
( 0.38554216867469876 , -0.007351340006692908 )
( 0.38955823293172687 , -0.031798870082042185 )
( 0.393574297188755 , -0.05621456014144144 )
( 0.3975903614457831 , -0.08058215258948564 )
( 0.4016064257028112 , -0.10488551923768341 )
( 0.4056224899598393 , -0.1291086694524921 )
( 0.40963855421686746 , -0.1532357586066695 )
( 0.41365461847389556 , -0.17725109686868734 )
( 0.41767068273092367 , -0.201139158360931 )
( 0.4216867469879518 , -0.22488459072488354 )
( 0.4257028112449799 , -0.24847222513456302 )
( 0.429718875502008 , -0.2718870868078227 )
( 0.4337349397590361 , -0.2951144060745179 )
( 0.4377510040160642 , -0.31813963005787116 )
( 0.4417670682730923 , -0.3409484350577401 )
( 0.4457831325301204 , -0.36352673971187244 )
( 0.4497991967871485 , -0.385860719058158 )
( 0.4538152610441767 , -0.40793681961437755 )
( 0.4578313253012048 , -0.4297417756453825 )
( 0.4618473895582329 , -0.45126262681664286 )
( 0.465863453815261 , -0.47248673748566716 )
( 0.4698795180722891 , -0.49340181796775084 )
( 0.4738955823293172 , -0.5139959482179535 )
( 0.47791164658634533 , -0.534257604544166 )
( 0.48192771084337344 , -0.5541756902316735 )
( 0.48594377510040154 , -0.5737395714178604 )
( 0.48995983935742965 , -0.5929391204121828 )
( 0.4939759036144578 , -0.6117647704271008 )
