
Samples for s = 0.1:
( 0 , 0.0 )
( 13 , -1.19926840915 )
( 14 , -1.19926840915 )
( 15 , -1.19926840915 )
( 16 , -1.19926840915 )
( 17 , -0.142039792146 )
( 18 , -0.142039792146 )
( 19 , 0.478202280454 )
( 20 , 0.882354496435 )
( 21 , 0.882354496435 )
( 22 , 0.882354496435 )
( 23 , 0.882354496435 )
( 24 , 0.882354496435 )
( 25 , 0.882354496435 )
( 26 , 0.882354496435 )
( 27 , 0.882354496435 )
( 28 , 0.882354496435 )
( 29 , 0.882354496435 )
( 30 , 1.2630062814 )
( 31 , 1.2630062814 )
( 32 , 1.2630062814 )
( 33 , 1.2630062814 )
( 34 , 1.2630062814 )
( 35 , -1.74726213319 )
( 36 , -1.63627944668 )
( 37 , -1.63627944668 )
( 38 , -1.63627944668 )
( 39 , -1.63627944668 )
( 40 , -1.63627944668 )
( 41 , -1.63627944668 )
( 42 , -1.63627944668 )
( 43 , 1.05101721939 )
( 44 , 1.05101721939 )
( 45 , 1.05101721939 )
( 46 , 1.05101721939 )
( 47 , 1.44509327197 )
( 48 , 1.44509327197 )
( 49 , 1.44509327197 )
( 50 , 1.44509327197 )
( 51 , 0.0973316366313 )
( 52 , 0.722721484851 )
( 53 , 0.722721484851 )
( 54 , 0.722721484851 )
( 55 , 0.722721484851 )
( 56 , 0.722721484851 )
( 57 , 0.722721484851 )
( 58 , 0.722721484851 )
( 59 , 0.722721484851 )
( 60 , 0.722721484851 )
( 61 , 1.45960823217 )
( 62 , 1.45960823217 )
( 63 , 1.45960823217 )
( 64 , 1.45960823217 )
( 65 , 1.45960823217 )
( 66 , 1.45960823217 )
( 67 , 1.45960823217 )
( 68 , 1.45960823217 )
( 69 , 1.45960823217 )
( 70 , 1.57727972782 )
( 71 , 1.57727972782 )
( 72 , 1.57727972782 )
( 73 , 1.57727972782 )
( 74 , 1.57727972782 )
( 75 , -1.42711998678 )
( 76 , -1.92127805907 )
( 77 , -1.92127805907 )
( 78 , -1.92127805907 )
( 79 , 1.31822874202 )
( 80 , 1.31822874202 )
( 81 , 1.31822874202 )
( 82 , 0.21629319953 )
( 83 , 0.262736243172 )
( 84 , 0.262736243172 )
( 85 , 0.262736243172 )
( 86 , 0.448909556004 )
( 87 , 0.448909556004 )
( 88 , 0.448909556004 )
( 89 , 0.448909556004 )
( 90 , 0.448909556004 )
( 91 , 0.448909556004 )
( 92 , 0.448909556004 )
( 93 , 0.448909556004 )
( 94 , 0.448909556004 )
( 95 , 0.448909556004 )
( 96 , 0.448909556004 )
( 97 , 0.448909556004 )
( 98 , 0.448909556004 )
( 99 , 0.448909556004 )
( 100 , 0.448909556004 )
( 101 , 0.448909556004 )
( 102 , 0.448909556004 )
( 103 , 0.448909556004 )
( 104 , 0.448909556004 )
( 105 , 0.448909556004 )
( 106 , 0.448909556004 )
( 107 , 0.448909556004 )
( 108 , 0.448909556004 )
( 109 , 0.448909556004 )
( 110 , 0.448909556004 )
( 111 , 0.448909556004 )
( 112 , 0.448909556004 )
( 113 , 0.448909556004 )
( 114 , 0.448909556004 )
( 115 , -0.323888549488 )
( 116 , 0.943267557218 )
( 117 , 0.943267557218 )
( 118 , 0.943267557218 )
( 119 , 0.943267557218 )
( 120 , 0.943267557218 )
( 121 , 1.61156694357 )
( 122 , 1.61156694357 )
( 123 , 1.61156694357 )
( 124 , 1.61156694357 )
( 125 , 1.61156694357 )
( 126 , 1.61156694357 )
( 127 , -0.725195642969 )
( 128 , -1.42076761975 )
( 129 , -1.42076761975 )
( 130 , -1.42076761975 )
( 131 , 1.70227649355 )
( 132 , 1.70227649355 )
( 133 , 1.70227649355 )
( 134 , 1.70227649355 )
( 135 , -1.71638457156 )
( 136 , -1.71638457156 )
( 137 , -1.71638457156 )
( 138 , 0.147806919277 )
( 139 , 0.147806919277 )
( 140 , 0.147806919277 )
( 141 , 0.147806919277 )
( 142 , 0.147806919277 )
( 143 , 0.147806919277 )
( 144 , 0.147806919277 )
( 145 , 0.147806919277 )
( 146 , 0.147806919277 )
( 147 , 0.147806919277 )
( 148 , 0.147806919277 )
( 149 , 0.147806919277 )
( 150 , 0.147806919277 )
( 151 , 0.147806919277 )
( 152 , 0.147806919277 )
( 153 , 0.147806919277 )
( 154 , 0.147806919277 )
( 155 , 1.10935722751 )
( 156 , 1.10935722751 )
( 157 , 1.10935722751 )
( 158 , 1.10935722751 )
( 159 , 1.10935722751 )
( 160 , 1.10935722751 )
( 161 , 1.10935722751 )
( 162 , 1.10935722751 )
( 163 , 1.10935722751 )
( 164 , 1.10935722751 )
( 165 , 1.10935722751 )
( 166 , 1.10935722751 )
( 167 , 1.10935722751 )
( 168 , 1.10935722751 )
( 169 , 1.10935722751 )
( 170 , 1.10935722751 )
