Mean vec: 
( 0.0 , 0.0 )
( 0.9437751004016064 , -0.33477862264116687 )
( 0.9477911646586344 , -0.3302058365352978 )
( 0.9518072289156626 , -0.3256432191999925 )
( 0.9558232931726907 , -0.32109171808377246 )
( 0.9598393574297188 , -0.3165522636154927 )
( 0.9638554216867469 , -0.3120257682703047 )
( 0.967871485943775 , -0.30751312554184507 )
( 0.9718875502008031 , -0.303015208800814 )
( 0.9759036144578312 , -0.29853287001287687 )
( 0.9799196787148593 , -0.2940669382778569 )
( 0.9839357429718875 , -0.2896182181340776 )
( 0.9879518072289156 , -0.2851874875396796 )
( 0.9919678714859437 , -0.2807754953800037 )
( 0.9959839357429718 , -0.27638295820491754 )
( 1.0 , -0.2720105554446848 )


Pos dev: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.001752103459641472 )
( 0.008032128514056224 , 0.003378028711148496 )
( 0.012048192771084336 , 0.004874849626666237 )
( 0.01606425702811245 , 0.006240173284180292 )
( 0.020080321285140562 , 0.007471955119547388 )
( 0.024096385542168672 , 0.008568416585260537 )
( 0.028112449799196783 , 0.009527996893802036 )
( 0.0321285140562249 , 0.01034932095870024 )
( 0.03614457831325301 , 0.011031176421071584 )
( 0.040160642570281124 , 0.01157249631699224 )
( 0.04417670682730923 , 0.011972345504566509 )
( 0.048192771084337345 , 0.012229909728966745 )
( 0.05220883534136546 , 0.012344486613608985 )
( 0.056224899598393566 , 0.01231547810388628 )
( 0.06024096385542168 , 0.012142384034345949 )
( 0.0642570281124498 , 0.011824796583217792 )
( 0.0682730923694779 , 0.011362395441765441 )
( 0.07228915662650602 , 0.010754943567530414 )
( 0.07630522088353413 , 0.010002283421164646 )
( 0.08032128514056225 , 0.009104333609079723 )
( 0.08433734939759036 , 0.008061085869180251 )
( 0.08835341365461846 , 0.00687260235060097 )
( 0.09236947791164658 , 0.005539013146131921 )
( 0.09638554216867469 , 0.0040605140446488275 )
( 0.1004016064257028 , 0.0024373644755323054 )
( 0.10441767068273092 , 0.0006698856221843408 )
( 0.10843373493975902 , -0.0012415413149544086 )
( 0.11244979919678713 , -0.003296476722401437 )
( 0.11646586345381525 , -0.005494424058963138 )
( 0.12048192771084336 , -0.007834831234269785 )
( 0.12449799196787148 , -0.010317091891257457 )
( 0.1285140562248996 , -0.012940546601827668 )
( 0.1325301204819277 , -0.015704483983480844 )
( 0.1365461847389558 , -0.018608141744110795 )
( 0.14056224899598393 , -0.021650707661087926 )
( 0.14457831325301204 , -0.024831320500137727 )
( 0.14859437751004015 , -0.028149070878870253 )
( 0.15261044176706826 , -0.03160300207933103 )
( 0.15662650602409636 , -0.0351921108134349 )
( 0.1606425702811245 , -0.038915347944762424 )
( 0.1646586345381526 , -0.0427716191698527 )
( 0.1686746987951807 , -0.04675978566191885 )
( 0.17269076305220882 , -0.05087866467933233 )
( 0.17670682730923692 , -0.055127030141448374 )
( 0.18072289156626503 , -0.059503613173752606 )
( 0.18473895582329317 , -0.06400710262419068 )
( 0.18875502008032127 , -0.06863614555265213 )
( 0.19277108433734938 , -0.07338934769497185 )
( 0.1967871485943775 , -0.07826527390315066 )
( 0.2008032128514056 , -0.08326244856294812 )
( 0.20481927710843373 , -0.08837935599028798 )
( 0.20883534136546184 , -0.09361444080746495 )
( 0.21285140562248994 , -0.09896610830033645 )
( 0.21686746987951805 , -0.1044327247573866 )
( 0.22088353413654616 , -0.11001261779166624 )
( 0.22489959839357426 , -0.11570407664636559 )
( 0.2289156626506024 , -0.12150535248484573 )
( 0.2329317269076305 , -0.12741465866587967 )
( 0.2369477911646586 , -0.13343017100465873 )
( 0.24096385542168672 , -0.13955002802035713 )
( 0.24497991967871482 , -0.14577233117066646 )
( 0.24899598393574296 , -0.15209514507397176 )
( 0.25301204819277107 , -0.1585164977195659 )
( 0.2570281124497992 , -0.16503438066637577 )
( 0.2610441767068273 , -0.17164674923073492 )
( 0.2650602409638554 , -0.17835152266327023 )
( 0.2690763052208835 , -0.1851465843157991 )
( 0.2730923694779116 , -0.19202978179789731 )
( 0.2771084337349397 , -0.19899892712391087 )
( 0.28112449799196787 , -0.20605179685053843 )
( 0.285140562248996 , -0.21318613220500454 )
( 0.2891566265060241 , -0.22039963920421768 )
( 0.2931726907630522 , -0.22768998876504026 )
( 0.2971887550200803 , -0.2350548168056545 )
( 0.3012048192771084 , -0.24249172433816776 )
( 0.3052208835341365 , -0.2499982775524256 )
( 0.3092369477911646 , -0.2575720078911662 )
( 0.3132530120481927 , -0.2652104121161888 )
( 0.31726907630522083 , -0.27291095236554785 )
( 0.321285140562249 , -0.28067105620171684 )
( 0.3253012048192771 , -0.2884881166501489 )
( 0.3293172690763052 , -0.2963594922281113 )
( 0.3333333333333333 , -0.30428250696344306 )
( 0.3373493975903614 , -0.31225445040252114 )
( 0.34136546184738953 , -0.32027257760697153 )
( 0.34538152610441764 , -0.328334109138264 )
( 0.34939759036144574 , -0.33643623102954473 )
( 0.35341365461847385 , -0.344576094743415 )
( 0.35742971887550196 , -0.3527508171145258 )
( 0.36144578313253006 , -0.36095748027570096 )
( 0.3654618473895582 , -0.3691931315657059 )
( 0.36947791164658633 , -0.3774547834169163 )
( 0.37349397590361444 , -0.38573941322040317 )
( 0.37751004016064255 , -0.394043963165965 )
( 0.38152610441767065 , -0.4023653400538172 )
( 0.38554216867469876 , -0.4107004150745456 )
( 0.38955823293172687 , -0.41904602355242737 )
( 0.393574297188755 , -0.4273989646480406 )
( 0.3975903614457831 , -0.43575600101313366 )
( 0.4016064257028112 , -0.44411385839148043 )
( 0.4056224899598393 , -0.45246922515682153 )
( 0.40963855421686746 , -0.460818751778182 )
( 0.41365461847389556 , -0.4691590502003059 )
( 0.41767068273092367 , -0.4774866931248428 )
( 0.4216867469879518 , -0.48579821317462096 )
( 0.4257028112449799 , -0.49409010191952063 )
( 0.429718875502008 , -0.5023588087377053 )
( 0.4337349397590361 , -0.5106007394790784 )
( 0.4377510040160642 , -0.5188122548904017 )
( 0.4417670682730923 , -0.5269896687500086 )
( 0.4457831325301204 , -0.5351292456456308 )
( 0.4497991967871485 , -0.5432271983098288 )
( 0.4538152610441767 , -0.5512796843986125 )
( 0.4578313253012048 , -0.5592828025626835 )
( 0.4618473895582329 , -0.56723258760198 )
( 0.465863453815261 , -0.5751250044130122 )
( 0.4698795180722891 , -0.5829559403060091 )
( 0.4738955823293172 , -0.590721195064775 )
( 0.47791164658634533 , -0.5984164677627245 )
( 0.48192771084337344 , -0.6060373387122999 )
( 0.48594377510040154 , -0.6135792436640841 )
( 0.48995983935742965 , -0.6210374345866597 )
( 0.4939759036144578 , -0.6284069140624226 )
( 0.4979919678714859 , -0.6356823044563232 )
( 0.502008032128514 , -0.6370174409195074 )
( 0.5060240963855421 , -0.6324122288357387 )
( 0.5100401606425702 , -0.627712643817238 )
( 0.5140562248995983 , -0.6229238742607452 )
( 0.5180722891566265 , -0.6180507283396537 )
( 0.5220883534136546 , -0.613097764833776 )
( 0.5261044176706827 , -0.6080693587310334 )
( 0.5301204819277108 , -0.602969740445676 )
( 0.5341365461847389 , -0.5978030216174209 )
( 0.538152610441767 , -0.5925732131595861 )
( 0.5421686746987951 , -0.5872842384411986 )
( 0.5461847389558232 , -0.5819399432257916 )
( 0.5502008032128514 , -0.5765441033518951 )
( 0.5542168674698794 , -0.5711004307843647 )
( 0.5582329317269076 , -0.5656125784581171 )
( 0.5622489959839357 , -0.5600841442056879 )
( 0.5662650602409638 , -0.5545186739767901 )
( 0.570281124497992 , -0.5489196645021315 )
( 0.57429718875502 , -0.5432905655142604 )
( 0.5783132530120482 , -0.5376347816119271 )
( 0.5823293172690762 , -0.5319556738343153 )
( 0.5863453815261044 , -0.5262565609967812 )
( 0.5903614457831324 , -0.5205407208293039 )
( 0.5943775100401606 , -0.5148113909503074 )
( 0.5983935742971886 , -0.5090717697023107 )
( 0.6024096385542168 , -0.5033250168708907 )
( 0.606425702811245 , -0.49757425430458957 )
( 0.610441767068273 , -0.4918225664502227 )
( 0.6144578313253012 , -0.48607300081562266 )
( 0.6184738955823292 , -0.4803285683700031 )
( 0.6224899598393574 , -0.4745922438901981 )
( 0.6265060240963854 , -0.4688669662599425 )
( 0.6305220883534136 , -0.4631556387281134 )
( 0.6345381526104417 , -0.4574611291310856 )
( 0.6385542168674698 , -0.4517862700835228 )
( 0.642570281124498 , -0.44613385914108994 )
( 0.646586345381526 , -0.44050665893849195 )
( 0.6506024096385542 , -0.4349073973052513 )
( 0.6546184738955823 , -0.42933876736180937 )
( 0.6586345381526104 , -0.4238034275975501 )
( 0.6626506024096385 , -0.41830400193280304 )
( 0.6666666666666666 , -0.4128430797660283 )
( 0.6706827309236947 , -0.4074232160073977 )
( 0.6746987951807228 , -0.40204693110004214 )
( 0.6787148594377509 , -0.3967167110295869 )
( 0.6827309236947791 , -0.3914350073228869 )
( 0.6867469879518072 , -0.3862042370365841 )
( 0.6907630522088353 , -0.38102678273594504 )
( 0.6947791164658634 , -0.37590499246447895 )
( 0.6987951807228915 , -0.3708411797046509 )
( 0.7028112449799196 , -0.36583762332995684 )
( 0.7068273092369477 , -0.360896567548608 )
( 0.7108433734939759 , -0.3560202218389483 )
( 0.7148594377510039 , -0.3512107608767408 )
( 0.7188755020080321 , -0.34647032445427384 )
( 0.7228915662650601 , -0.34180101739139424 )
( 0.7269076305220883 , -0.33720490943839243 )
( 0.7309236947791165 , -0.33268403517064715 )
( 0.7349397590361445 , -0.3282403938749191 )
( 0.7389558232931727 , -0.3238759494270925 )
( 0.7429718875502007 , -0.31959263016136696 )
( 0.7469879518072289 , -0.31539232873040857 )
( 0.7510040160642569 , -0.31127690195640345 )
( 0.7550200803212851 , -0.30724817067266175 )
( 0.7590361445783131 , -0.3033079195554905 )
( 0.7630522088353413 , -0.2994578969459165 )
( 0.7670682730923694 , -0.2956998146609804 )
( 0.7710843373493975 , -0.2920353477940368 )
( 0.7751004016064257 , -0.2884661345037809 )
( 0.7791164658634537 , -0.28499377579138996 )
( 0.7831325301204819 , -0.28161983526524564 )
( 0.78714859437751 , -0.2783458388927429 )
( 0.7911646586345381 , -0.2751732747384439 )
( 0.7951807228915662 , -0.27210359268802303 )
( 0.7991967871485943 , -0.2691382041571918 )
( 0.8032128514056224 , -0.2662784817848405 )
( 0.8072289156626505 , -0.2635257591095559 )
( 0.8112449799196786 , -0.2608813302285981 )
( 0.8152610441767068 , -0.25834644943829255 )
( 0.8192771084337349 , -0.2559223308548496 )
( 0.823293172690763 , -0.25361014801426063 )
( 0.8273092369477911 , -0.25141103345027194 )
( 0.8313253012048192 , -0.24932607824870096 )
( 0.8353413654618473 , -0.24735633157688675 )
( 0.8393574297188754 , -0.2455028001863683 )
( 0.8433734939759036 , -0.24376644788713686 )
( 0.8473895582329316 , -0.24214819499130652 )
( 0.8514056224899598 , -0.24064891772415548 )
( 0.8554216867469878 , -0.23926944759994875 )
( 0.859437751004016 , -0.23801057075992146 )
( 0.8634538152610441 , -0.23687302726947213 )
( 0.8674698795180722 , -0.23585751037106348 )
( 0.8714859437751004 , -0.2349646656893531 )
( 0.8755020080321284 , -0.23419509038422617 )
( 0.8795180722891566 , -0.23354933224703048 )
( 0.8835341365461846 , -0.23302788873496771 )
( 0.8875502008032128 , -0.2326312059373127 )
( 0.8915662650602408 , -0.23235967746714548 )
( 0.895582329317269 , -0.2322136432704783 )
( 0.899598393574297 , -0.23219338834411216 )
( 0.9036144578313252 , -0.23229914135208296 )
( 0.9076305220883534 , -0.2325310731287711 )
( 0.9116465863453814 , -0.232889295055056 )
( 0.9156626506024096 , -0.23337385729144738 )
( 0.9196787148594376 , -0.233984746849106 )
( 0.9236947791164658 , -0.2347218854765528 )
( 0.9277108433734939 , -0.23558512733492826 )
( 0.931726907630522 , -0.23657425642927157 )
( 0.9357429718875501 , -0.23768898375661934 )
( 0.9397590361445782 , -0.23892894412177862 )
( 0.9437751004016064 , -0.240293692560276 )
( 0.9477911646586344 , -0.24178270029180504 )
( 0.9518072289156626 , -0.24339535010570024 )
( 0.9558232931726907 , -0.24513093105059702 )
( 0.9598393574297188 , -0.2469886322575941 )
( 0.9638554216867469 , -0.24896753566509655 )
( 0.967871485943775 , -0.2510666073211978 )
( 0.9718875502008031 , -0.25328468679540495 )
( 0.9759036144578312 , -0.2556204739968464 )
( 0.9799196787148593 , -0.258072512289471 )
( 0.9839357429718875 , -0.2606391660392216 )
( 0.9879518072289156 , -0.26331858917822865 )
( 0.9919678714859437 , -0.2661086777185895 )
( 0.9959839357429718 , -0.26900698842319337 )
( 1.0 , -0.2720105554446848 )


Neg dev: 
( 0.0 , 0.0 )
( 0.004016064257028112 , -0.012999836103686466 )
( 0.008032128514056224 , -0.025955606611558758 )
( 0.012048192771084336 , -0.03886294709623567 )
( 0.01606425702811245 , -0.051717930905562357 )
( 0.020080321285140562 , -0.06451689685731081 )
( 0.024096385542168672 , -0.07725637544674868 )
( 0.028112449799196783 , -0.0899330471170339 )
( 0.0321285140562249 , -0.10254371548257858 )
( 0.03614457831325301 , -0.1150852887893588 )
( 0.040160642570281124 , -0.12755476639886248 )
( 0.04417670682730923 , -0.13994922856176684 )
( 0.048192771084337345 , -0.15226582845961245 )
( 0.05220883534136546 , -0.1645017858733916 )
( 0.056224899598393566 , -0.1766543820578485 )
( 0.06024096385542168 , -0.18872095553192955 )
( 0.0642570281124498 , -0.20069889858013756 )
( 0.0682730923694779 , -0.21258565431664733 )
( 0.07228915662650602 , -0.2243787142010611 )
( 0.07630522088353413 , -0.23607561592158915 )
( 0.08032128514056225 , -0.2476739415813827 )
( 0.08433734939759036 , -0.25917131613652916 )
( 0.08835341365461846 , -0.27056540604624035 )
( 0.09236947791164658 , -0.28185391810210714 )
( 0.09638554216867469 , -0.2930345984108571 )
( 0.1004016064257028 , -0.3041052315087759 )
( 0.10441767068273092 , -0.31506363959027134 )
( 0.10843373493975902 , -0.32590768183590463 )
( 0.11244979919678713 , -0.3366352538274694 )
( 0.11646586345381525 , -0.3472442870396719 )
( 0.12048192771084336 , -0.3577327483999908 )
( 0.12449799196787148 , -0.36809863990896646 )
( 0.1285140562248996 , -0.3783399983145249 )
( 0.1325301204819277 , -0.38845489483510093 )
( 0.1365461847389558 , -0.3984414349266297 )
( 0.14056224899598393 , -0.4082977580894773 )
( 0.14457831325301204 , -0.4180220377117495 )
( 0.14859437751004015 , -0.4276124809458928 )
( 0.15261044176706826 , -0.437067328616008 )
( 0.15662650602409636 , -0.4463848551534725 )
( 0.1606425702811245 , -0.4555633685589468 )
( 0.1646586345381526 , -0.4646012103889833 )
( 0.1686746987951807 , -0.47349675576560957 )
( 0.17269076305220882 , -0.4822484134077426 )
( 0.17670682730923692 , -0.49085462568308524 )
( 0.18072289156626503 , -0.49931386867957117 )
( 0.18473895582329317 , -0.5076246522955641 )
( 0.18875502008032127 , -0.5157855203478932 )
( 0.19277108433734938 , -0.5237950506972313 )
( 0.1967871485943775 , -0.5316518553901564 )
( 0.2008032128514056 , -0.5393545808175699 )
( 0.20481927710843373 , -0.5469019078888678 )
( 0.20883534136546184 , -0.5542925522218897 )
( 0.21285140562248994 , -0.5615252643480076 )
( 0.21686746987951805 , -0.5685988299325659 )
( 0.22088353413654616 , -0.575512070010243 )
( 0.22489959839357426 , -0.5822638412354261 )
( 0.2289156626506024 , -0.5888530361475732 )
( 0.2329317269076305 , -0.5952785834514861 )
( 0.2369477911646586 , -0.6015394483127591 )
( 0.24096385542168672 , -0.6076346326683225 )
( 0.24497991967871482 , -0.6135631755523621 )
( 0.24899598393574296 , -0.6193241534377958 )
( 0.25301204819277107 , -0.6249166805935749 )
( 0.2570281124497992 , -0.6303399094580543 )
( 0.2610441767068273 , -0.6355930310287972 )
( 0.2650602409638554 , -0.640675275269264 )
( 0.2690763052208835 , -0.6455859115325897 )
( 0.2730923694779116 , -0.6503242490032264 )
( 0.2771084337349397 , -0.6548896371567424 )
( 0.28112449799196787 , -0.6592814662383804 )
( 0.285140562248996 , -0.6634991677611346 )
( 0.2891566265060241 , -0.6675422150238778 )
( 0.2931726907630522 , -0.6714101236503307 )
( 0.2971887550200803 , -0.6751024521497189 )
( 0.3012048192771084 , -0.6786188024999792 )
( 0.3052208835341365 , -0.6819588207544705 )
( 0.3092369477911646 , -0.6851221976731953 )
( 0.3132530120481927 , -0.6881086693797488 )
( 0.31726907630522083 , -0.6909180180452194 )
( 0.321285140562249 , -0.693550072600242 )
( 0.3253012048192771 , -0.6960047094769213 )
( 0.3293172690763052 , -0.6982818533820968 )
( 0.3333333333333333 , -0.7003814781036185 )
( 0.3373493975903614 , -0.7023036073517719 )
