Mean vec: 
( 0.0 , 0.0 )
( 0.004016064257028112 , -0.005623866322022497 )
( 0.008032128514056224 , -0.01128878895020513 )
( 0.012048192771084336 , -0.016994048734784717 )
( 0.01606425702811245 , -0.022738878810691032 )
( 0.020080321285140562 , -0.02852247086888171 )
( 0.024096385542168672 , -0.034343979430744076 )
( 0.028112449799196783 , -0.04020252511161593 )
( 0.0321285140562249 , -0.04609719726193917 )
( 0.03614457831325301 , -0.052027056184143605 )
( 0.040160642570281124 , -0.057991135040935116 )
( 0.04417670682730923 , -0.06398844152860017 )
( 0.048192771084337345 , -0.07001795936532285 )
( 0.05220883534136546 , -0.0760786496298913 )
( 0.056224899598393566 , -0.08216945197698111 )
( 0.06024096385542168 , -0.0882892857487918 )
( 0.0642570281124498 , -0.09443705099845989 )
( 0.0682730923694779 , -0.10061162943744095 )
( 0.07228915662650602 , -0.10681188531676533 )
( 0.07630522088353413 , -0.11303666625021225 )
( 0.08032128514056225 , -0.11928480398615149 )
( 0.08433734939759036 , -0.12555511513367446 )
( 0.08835341365461846 , -0.1318464018478197 )
( 0.09236947791164658 , -0.1381574524779876 )
( 0.09638554216867469 , -0.14448704218310415 )
( 0.1004016064257028 , -0.15083393351662178 )
( 0.10441767068273092 , -0.1571968769840435 )
( 0.10843373493975902 , -0.16357461157542952 )
( 0.11244979919678713 , -0.1699658652749354 )
( 0.11646586345381525 , -0.17636935554931754 )
( 0.12048192771084336 , -0.18278378981713028 )
( 0.12449799196787148 , -0.18920786590011196 )
( 0.1285140562248996 , -0.19564027245817628 )
( 0.1325301204819277 , -0.20207968940929089 )
( 0.1365461847389558 , -0.20852478833537025 )
( 0.14056224899598393 , -0.2149742328752826 )
( 0.14457831325301204 , -0.2214266791059436 )
( 0.14859437751004015 , -0.22788077591238154 )
( 0.15261044176706826 , -0.23433516534766952 )
( 0.15662650602409636 , -0.24078848298345368 )
( 0.1606425702811245 , -0.2472393582518546 )
( 0.1646586345381526 , -0.253686414779418 )
( 0.1686746987951807 , -0.2601282707137642 )
( 0.17269076305220882 , -0.26656353904353747 )
( 0.17670682730923692 , -0.2729908279122668 )
( 0.18072289156626503 , -0.2794087409266619 )
( 0.18473895582329317 , -0.28581587745987735 )
( 0.18875502008032127 , -0.2922108329502726 )
( 0.19277108433734938 , -0.2985921991961016 )
( 0.1967871485943775 , -0.3049585646466535 )
( 0.2008032128514056 , -0.311308514690259 )
( 0.20481927710843373 , -0.3176406319395779 )
( 0.20883534136546184 , -0.3239534965146773 )
( 0.21285140562248994 , -0.33024568632417206 )
( 0.21686746987951805 , -0.3365157773449763 )
( 0.22088353413654616 , -0.3427623439009546 )
( 0.22489959839357426 , -0.34898395894089584 )
( 0.2289156626506024 , -0.3551791943162095 )
( 0.2329317269076305 , -0.36134662105868287 )
( 0.2369477911646586 , -0.3674848096587089 )
( 0.24096385542168672 , -0.3735923303443398 )
( 0.24497991967871482 , -0.37966775336151426 )
( 0.24899598393574296 , -0.3857096492558838 )
( 0.25301204819277107 , -0.39171658915657037 )
( 0.2570281124497992 , -0.39768714506221503 )
( 0.2610441767068273 , -0.40361989012976607 )
( 0.2650602409638554 , -0.40951339896626715 )
( 0.2690763052208835 , -0.4153662479241944 )
( 0.2730923694779116 , -0.42117701540056185 )
( 0.2771084337349397 , -0.42694428214032665 )
( 0.28112449799196787 , -0.4326666315444594 )
( 0.285140562248996 , -0.4383426499830696 )
( 0.2891566265060241 , -0.44397092711404773 )
( 0.2931726907630522 , -0.4495500562076855 )
( 0.2971887550200803 , -0.4550786344776867 )
( 0.3012048192771084 , -0.4605552634190735 )
( 0.3052208835341365 , -0.46597854915344805 )
( 0.3092369477911646 , -0.4713471027821807 )
( 0.3132530120481927 , -0.4766595407479688 )
( 0.31726907630522083 , -0.4819144852053836 )
( 0.321285140562249 , -0.48711056440097944 )
( 0.3253012048192771 , -0.4922464130635351 )
( 0.3293172690763052 , -0.49732067280510406 )
( 0.3333333333333333 , -0.5023319925335308 )
( 0.3373493975903614 , -0.5072790288771465 )
( 0.34136546184738953 , -0.5121604466223912 )
( 0.34538152610441764 , -0.5169749191651543 )
( 0.34939759036144574 , -0.521721128976719 )
( 0.35341365461847385 , -0.5263977680851493 )
( 0.35742971887550196 , -0.5310035385731544 )
( 0.36144578313253006 , -0.5355371530934028 )
( 0.3654618473895582 , -0.5399973354024483 )
( 0.36947791164658633 , -0.5443828209144292 )
( 0.37349397590361444 , -0.5486923572758513 )
( 0.37751004016064255 , -0.5529247049628416 )
( 0.38152610441767065 , -0.5570786379024018 )
( 0.38554216867469876 , -0.5611529441193268 )
( 0.38955823293172687 , -0.5651464264105455 )
( 0.393574297188755 , -0.5690579030489675 )
( 0.3975903614457831 , -0.5728862085189212 )
( 0.4016064257028112 , -0.5766301942856722 )
( 0.4056224899598393 , -0.5802887296016548 )
( 0.40963855421686746 , -0.5838607023524727 )
( 0.41365461847389556 , -0.5873450199459453 )
( 0.41767068273092367 , -0.5907406102480341 )
( 0.4216867469879518 , -0.594046422569888 )
( 0.4257028112449799 , -0.597261428710905 )
( 0.429718875502008 , -0.6003846240633661 )
( 0.4337349397590361 , -0.6034150287850806 )
( 0.4377510040160642 , -0.6063516890475726 )
( 0.4417670682730923 , -0.609193678368579 )
( 0.4457831325301204 , -0.6119400990393 )
( 0.4497991967871485 , -0.6145900836589211 )
( 0.4538152610441767 , -0.6171427967915097 )
( 0.4578313253012048 , -0.619597436764012 )
( 0.4618473895582329 , -0.6219532376285719 )
( 0.465863453815261 , -0.6242094713189477 )
( 0.4698795180722891 , -0.6263654500395393 )
( 0.4738955823293172 , -0.6284205289388709 )
( 0.47791164658634533 , -0.6303741091387944 )
( 0.48192771084337344 , -0.6322256412222433 )
( 0.48594377510040154 , -0.6339746293356481 )
( 0.48995983935742965 , -0.6356206361608887 )
( 0.4939759036144578 , -0.6371632892202372 )
( 0.4979919678714859 , -0.6386022895217773 )
( 0.502008032128514 , -0.6399374259852657 )
( 0.5060240963855421 , -0.6411686039935534 )
( 0.5100401606425702 , -0.6422958453914822 )
( 0.5140562248995983 , -0.6433192599322983 )
( 0.5180722891566265 , -0.6442390308496055 )
( 0.5220883534136546 , -0.6450554062098182 )
( 0.5261044176706827 , -0.6457686926050763 )
( 0.5301204819277108 , -0.6463792501792216 )
( 0.5341365461847389 , -0.6468874885233655 )
( 0.538152610441767 , -0.6472938631861294 )
( 0.5421686746987951 , -0.6475988726425308 )
( 0.5461847389558232 , -0.6478030556186853 )
( 0.5502008032128514 , -0.6479069887009812 )
( 0.5542168674698794 , -0.6479112841780252 )
( 0.5582329317269076 , -0.6478165880767253 )
( 0.5622489959839357 , -0.6476235783628588 )
( 0.5662650602409638 , -0.6473329632827971 )
( 0.570281124497992 , -0.6469454798277945 )
( 0.57429718875502 , -0.6464618923056362 )
( 0.5783132530120482 , -0.6458829910072024 )
( 0.5823293172690762 , -0.6452095909575066 )
( 0.5863453815261044 , -0.6444425307424206 )
( 0.5903614457831324 , -0.6435826714035946 )
( 0.5943775100401606 , -0.6426308953951372 )
( 0.5983935742971886 , -0.6415881055964958 )
( 0.6024096385542168 , -0.6404552243766783 )
( 0.606425702811245 , -0.6392331927055321 )
( 0.610441767068273 , -0.6379229693083499 )
( 0.6144578313253012 , -0.6365255298604142 )
( 0.6184738955823292 , -0.6350418662185762 )
( 0.6224899598393574 , -0.6334729856870873 )
( 0.6265060240963854 , -0.6318199103153961 )
( 0.6305220883534136 , -0.6300836762256237 )
( 0.6345381526104417 , -0.6282653329678294 )
( 0.6385542168674698 , -0.6263659429012309 )
( 0.642570281124498 , -0.6243865805997235 )
( 0.646586345381526 , -0.6223283322802238 )
( 0.6506024096385542 , -0.6201922952524244 )
( 0.6546184738955823 , -0.6179795773886985 )
( 0.6586345381526104 , -0.6156912966129675 )
( 0.6626506024096385 , -0.6133285804074216 )
( 0.6666666666666666 , -0.6108925653361104 )
( 0.6706827309236947 , -0.6083843965843938 )
( 0.6746987951807228 , -0.6058052275134338 )
( 0.6787148594377509 , -0.603156219228842 )
( 0.6827309236947791 , -0.6004385401627184 )
( 0.6867469879518072 , -0.5976533656683651 )
( 0.6907630522088353 , -0.5948018776269512 )
( 0.6947791164658634 , -0.5918852640655003 )
( 0.6987951807228915 , -0.5889047187855607 )
( 0.7028112449799196 , -0.585861441001984 )
( 0.7068273092369477 , -0.5827566349912472 )
( 0.7108433734939759 , -0.5795915097487794 )
( 0.7148594377510039 , -0.5763672786548069 )
( 0.7188755020080321 , -0.5730851591481869 )
( 0.7228915662650601 , -0.5697463724078022 )
( 0.7269076305220883 , -0.5663521430410619 )
( 0.7309236947791165 , -0.5629036987790434 )
( 0.7349397590361445 , -0.5594022701779073 )
( 0.7389558232931727 , -0.5558490903261246 )
( 0.7429718875502007 , -0.5522453945571977 )
( 0.7469879518072289 , -0.5485924201674139 )
( 0.7510040160642569 , -0.5448914061383145 )
( 0.7550200803212851 , -0.5411435928635133 )
( 0.7590361445783131 , -0.5373502218794799 )
( 0.7630522088353413 , -0.5335125355999761 )
( 0.7670682730923694 , -0.5296317770537855 )
( 0.7710843373493975 , -0.5257091896253929 )
( 0.7751004016064257 , -0.5217460167983092 )
( 0.7791164658634537 , -0.5177435019006735 )
( 0.7831325301204819 , -0.5137028878528325 )
( 0.78714859437751 , -0.5096254169165737 )
( 0.7911646586345381 , -0.5055123304456495 )
( 0.7951807228915662 , -0.501364868637312 )
( 0.7991967871485943 , -0.49718427028449974 )
( 0.8032128514056224 , -0.49297177252834334 )
( 0.8072289156626505 , -0.4887286106106836 )
( 0.8112449799196786 , -0.4844560176262196 )
( 0.8152610441767068 , -0.48015522427398327 )
( 0.8192771084337349 , -0.4758274586077589 )
( 0.823293172690763 , -0.47147394578507806 )
( 0.8273092369477911 , -0.4670959078144781 )
( 0.8313253012048192 , -0.46269456330054526 )
( 0.8353413654618473 , -0.4582711271864468 )
( 0.8393574297188754 , -0.45382681049346263 )
( 0.8433734939759036 , -0.44936282005715134 )
( 0.8473895582329316 , -0.4448803582596461 )
( 0.8514056224899598 , -0.4403806227576701 )
( 0.8554216867469878 , -0.43586480620575463 )
( 0.859437751004016 , -0.43133409597412076 )
( 0.8634538152610441 , -0.4267896738607304 )
( 0.8674698795180722 , -0.42223271579686994 )
( 0.8714859437751004 , -0.41766439154570656 )
( 0.8755020080321284 , -0.4130858643930819 )
( 0.8795180722891566 , -0.4084982908299024 )
( 0.8835341365461846 , -0.4039028202253143 )
( 0.8875502008032128 , -0.39930059448984934 )
( 0.8915662650602408 , -0.39469274772763563 )
( 0.895582329317269 , -0.3900804058766949 )
( 0.899598393574297 , -0.3854646863362503 )
( 0.9036144578313252 , -0.3808466975798315 )
( 0.9076305220883534 , -0.3762275387528937 )
( 0.9116465863453814 , -0.3716082992534815 )
( 0.9156626506024096 , -0.3669900582943004 )
( 0.9196787148594376 , -0.3623738844443234 )
( 0.9236947791164658 , -0.35776083514794954 )
( 0.9277108433734939 , -0.35315195621922024 )
( 0.931726907630522 , -0.3485482813084839 )
( 0.9357429718875501 , -0.34395083133829285 )
( 0.9397590361445782 , -0.339360613904923 )
