Prior density:
( 0.602409638554 , 3.70337279521 )
( 0.606425702811 , 3.57706227121 )
( 0.610441767068 , 3.43305061197 )
( 0.614457831325 , 3.27380160386 )
( 0.618473895582 , 3.10197439022 )
( 0.622489959839 , 2.92034473664 )
( 0.626506024096 , 2.73172709536 )
( 0.630522088353 , 2.53890025407 )
( 0.63453815261 , 2.34453905369 )
( 0.638554216867 , 2.15115425314 )
( 0.642570281124 , 1.96104213638 )
( 0.646586345382 , 1.7762449289 )
( 0.650602409639 , 1.59852254971 )
( 0.654618473896 , 1.42933570202 )
( 0.658634538153 , 1.26983982726 )
( 0.66265060241 , 1.12088903622 )
( 0.666666666667 , 0.983048803091 )
( 0.670682730924 , 0.856615972798 )
( 0.674698795181 , 0.741644491811 )
( 0.678714859438 , 0.637975225031 )
( 0.682730923695 , 0.545268257174 )
( 0.686746987952 , 0.463036184645 )
( 0.690763052209 , 0.390677067826 )
( 0.694779116466 , 0.32750591773 )
( 0.698795180723 , 0.272783818506 )
( 0.70281124498 , 0.225744022914 )
( 0.706827309237 , 0.185614587874 )
( 0.710843373494 , 0.151637330322 )
( 0.714859437751 , 0.123083071487 )
( 0.718875502008 , 0.0992632947201 )
( 0.722891566265 , 0.0795384653627 )
( 0.726907630522 , 0.06332335047 )
( 0.730923694779 , 0.0500897331441 )
( 0.734939759036 , 0.0393669440097 )
( 0.738955823293 , 0.0307406352344 )
( 0.74297188755 , 0.0238502053186 )
( 0.746987951807 , 0.0183852506428 )
( 0.751004016064 , 0.0140813773044 )
( 0.755020080321 , 0.0107156584616 )
( 0.759036144578 , 0.00810197198656 )
( 0.763052208835 , 0.0060864037411 )
( 0.767068273092 , 0.00454285551785 )
( 0.771084337349 , 0.00336895521152 )
( 0.775100401606 , 0.00248233102784 )
( 0.779116465863 , 0.00181728189515 )
( 0.78313253012 , 0.00132185266096 )
( 0.787148594378 , 0.00095530476696 )
( 0.791164658635 , 0.00068596030629 )
( 0.795180722892 , 0.000489388964231 )
( 0.799196787149 , 0.000346902558824 )
( 0.803212851406 , 0.000244319977791 )
( 0.807228915663 , 0.000170965547947 )
( 0.81124497992 , 0.000118865650165 )
( 0.815261044177 , 8.21111780831e-05 )
( 0.819277108434 , 5.6356802086e-05 )
( 0.823293172691 , 3.84316070431e-05 )
( 0.827309236948 , 2.60392753559e-05 )
( 0.831325301205 , 1.75294136104e-05 )
( 0.835341365462 , 1.17247617913e-05 )
( 0.839357429719 , 7.791818236e-06 )
( 0.843373493976 , 5.14483846081e-06 )
( 0.847389558233 , 3.37522569625e-06 )
( 0.85140562249 , 2.20004740924e-06 )
( 0.855421686747 , 1.42481804191e-06 )
( 0.859437751004 , 9.16821770361e-07 )
( 0.863453815261 , 5.86149736466e-07 )
( 0.867469879518 , 3.72332011134e-07 )
( 0.871485943775 , 2.3499050987e-07 )
( 0.875502008032 , 1.47356200955e-07 )
( 0.879518072289 , 9.18088725929e-08 )
( 0.883534136546 , 5.68327979784e-08 )
( 0.887550200803 , 3.4955181887e-08 )
( 0.89156626506 , 2.13610324735e-08 )
( 0.895582329317 , 1.29697337132e-08 )
( 0.899598393574 , 7.82416542462e-09 )
( 0.903614457831 , 4.68967918228e-09 )
( 0.907630522088 , 2.7928421425e-09 )
( 0.911646586345 , 1.65252405348e-09 )
( 0.915662650602 , 9.71510134568e-10 )
( 0.919678714859 , 5.67472769533e-10 )
( 0.923694779116 , 3.29337256191e-10 )
( 0.927710843373 , 1.89904320155e-10 )
( 0.931726907631 , 1.08799518082e-10 )
( 0.935742971888 , 6.19323050182e-11 )
( 0.939759036145 , 3.50272193208e-11 )
( 0.943775100402 , 1.96830422472e-11 )
( 0.947791164659 , 1.09894746843e-11 )
( 0.951807228916 , 6.09620813959e-12 )
( 0.955823293173 , 3.36001166663e-12 )
( 0.95983935743 , 1.84000892486e-12 )
( 0.963855421687 , 1.00114554476e-12 )
( 0.967871485944 , 5.41218525602e-13 )
( 0.971887550201 , 2.9070080469e-13 )
( 0.975903614458 , 1.55137918209e-13 )
( 0.979919678715 , 8.22598342499e-14 )
( 0.983935742972 , 4.33367008489e-14 )
( 0.987951807229 , 2.26841237299e-14 )
( 0.991967871486 , 1.17974002542e-14 )
( 0.995983935743 , 6.09605344785e-15 )
( 1.0 , 3.12974794786e-15 )

Posterior density:
( 0.0 , 7.70589358601e-16 )
( 0.00401606425703 , 1.69545832202e-15 )
( 0.00803212851406 , 3.6912900338e-15 )
( 0.0120481927711 , 7.95204285819e-15 )
( 0.0160642570281 , 1.69501726273e-14 )
( 0.0200803212851 , 3.57480718003e-14 )
( 0.0240963855422 , 7.45942296066e-14 )
( 0.0281124497992 , 1.54001802357e-13 )
( 0.0321285140562 , 3.14565414418e-13 )
( 0.0361445783133 , 6.35711617883e-13 )
( 0.0401606425703 , 1.27108763862e-12 )
( 0.0441767068273 , 2.51455935907e-12 )
( 0.0481927710843 , 4.92183335536e-12 )
( 0.0522088353414 , 9.5319278969e-12 )
( 0.0562248995984 , 1.82656967125e-11 )
( 0.0602409638554 , 3.46344875617e-11 )
( 0.0642570281124 , 6.49854619831e-11 )
( 0.0682730923695 , 1.20664334199e-10 )
( 0.0722891566265 , 2.21727541023e-10 )
( 0.0763052208835 , 4.0323985537e-10 )
( 0.0803212851406 , 7.25834658003e-10 )
( 0.0843373493976 , 1.29321862027e-09 )
( 0.0883534136546 , 2.28085605982e-09 )
( 0.0923694779116 , 3.98243991261e-09 )
( 0.0963855421687 , 6.88433075659e-09 )
( 0.100401606426 , 1.17834640743e-08 )
( 0.104417670683 , 1.99720397952e-08 )
( 0.10843373494 , 3.35236427173e-08 )
( 0.112449799197 , 5.57316773722e-08 )
( 0.116465863454 , 9.17739639338e-08 )
( 0.120481927711 , 1.49709416368e-07 )
( 0.124497991968 , 2.41956969474e-07 )
( 0.128514056225 , 3.87467201152e-07 )
( 0.132530120482 , 6.14878208029e-07 )
( 0.136546184739 , 9.67055092949e-07 )
( 0.140562248996 , 1.50755393206e-06 )
( 0.144578313253 , 2.32973456429e-06 )
( 0.14859437751 , 3.56948150077e-06 )
( 0.152610441767 , 5.42278940772e-06 )
( 0.156626506024 , 8.16984075313e-06 )
( 0.160642570281 , 1.22076609019e-05 )
( 0.164658634538 , 1.8093993152e-05 )
( 0.168674698795 , 2.66057056836e-05 )
( 0.172690763052 , 3.88158359327e-05 )
( 0.176706827309 , 5.61943053155e-05 )
( 0.180722891566 , 8.07384051866e-05 )
( 0.184738955823 , 0.000115140365425 )
( 0.18875502008 , 0.000163000665859 )
( 0.192771084337 , 0.000229097225365 )
( 0.196787148594 , 0.000319722181137 )
( 0.200803212851 , 0.000443099615944 )
( 0.204819277108 , 0.000609899253768 )
( 0.208835341365 , 0.000833862756404 )
( 0.212851405622 , 0.00113256072766 )
( 0.21686746988 , 0.00152829975836 )
( 0.220883534137 , 0.00204919969067 )
( 0.224899598394 , 0.00273046158614 )
( 0.228915662651 , 0.0036158464627 )
( 0.232931726908 , 0.00475938351271 )
( 0.236947791165 , 0.00622732399235 )
( 0.240963855422 , 0.00810035302831 )
( 0.244979919679 , 0.0104760659529 )
( 0.248995983936 , 0.0134717081788 )
( 0.253012048193 , 0.0172271677891 )
( 0.25702811245 , 0.0219081977028 )
( 0.261044176707 , 0.027709829268 )
( 0.265060240964 , 0.0348599212902 )
( 0.269076305221 , 0.0436227677756 )
( 0.273092369478 , 0.0543026641195 )
( 0.277108433735 , 0.0672473053424 )
( 0.281124497992 , 0.0828508616986 )
( 0.285140562249 , 0.101556547233 )
( 0.289156626506 , 0.123858466604 )
( 0.293172690763 , 0.150302495986 )
( 0.29718875502 , 0.181485926786 )
