1.5:
Appr. of forward map:
( 2 , 8.8e-01 )
( 4 , 4.9e-01 )
( 8 , 2.4e-01 )
( 16 , 9.2e-02 )
( 32 , 2.9e-02 )
( 64 , 6.6e-03 )
( 128 , 1.7e-03 )
( 256 , 5.5e-04 )
( 512 , 4.0e-04 )
( 1024 , 2.0e-04 )

Appr. of potential:
( 2 , 5.6e-01 )
( 4 , 4.3e-01 )
( 8 , 3.4e-02 )
( 16 , 6.0e-03 )
( 32 , 1.0e-03 )
( 64 , 2.9e-04 )
( 128 , 4.5e-04 )
( 256 , 4.4e-04 )
( 512 , 4.3e-04 )
( 1024 , 4.5e-04 )

