1.5:

Appr. of forward map:
( 2 , 2.0e-01 )
( 4 , 1.5e-01 )
( 8 , 1.6e-01 )
( 16 , 6.6e-02 )
( 32 , 4.1e-02 )
( 64 , 2.8e-02 )
( 128 , 1.2e-02 )
( 256 , 9.6e-03 )
( 512 , 1.5e-03 )
( 1024 , 7.8e-04 )

Appr. of potential:
( 2 , 1.1e-01 )
( 4 , 1.5e-01 )
( 8 , 8.4e-02 )
( 16 , 1.9e-02 )
( 32 , 1.0e-02 )
( 64 , 5.3e-03 )
( 128 , 3.4e-03 )
( 256 , 3.2e-03 )
( 512 , 4.8e-04 )
( 1024 , 2.9e-04 )

