
Matern 0.75:
( 0.8668341708542715 , 0.47531532748651917 )
( 0.891959798994975 , 0.4631363063009175 )
( 0.9170854271356781 , 0.4512261926138823 )
( 0.942211055276382 , 0.43958202263885854 )
( 0.9673366834170856 , 0.42820059968528285 )
( 0.9924623115577891 , 0.41707852610547974 )
( 1.0175879396984926 , 0.406212231890742 )
( 1.0427135678391957 , 0.3955980002950982 )
( 1.0678391959798992 , 0.38523199081586007 )
( 1.0929648241206031 , 0.3751102598181066 )
( 1.1180904522613067 , 0.36522877905447665 )
( 1.1432160804020102 , 0.35558345230104854 )
( 1.1683417085427132 , 0.34617013030373506 )
( 1.1934673366834172 , 0.33698462420694947 )
( 1.2185929648241207 , 0.3280227176166188 )
( 1.2437185929648242 , 0.31928017743258025 )
( 1.2688442211055277 , 0.3107527635705206 )
( 1.2939698492462313 , 0.3024362376806152 )
( 1.3190954773869343 , 0.2943263709586768 )
( 1.3442211055276383 , 0.28641895113555815 )
( 1.3693467336683418 , 0.2787097887218285 )
( 1.3944723618090453 , 0.2711947225768535 )
( 1.4195979899497493 , 0.26386962486462895 )
( 1.4447236180904524 , 0.25673040545251097 )
( 1.4698492462311559 , 0.24977301580359992 )
( 1.4949748743718594 , 0.24299345240868594 )
( 1.5201005025125633 , 0.23638775979931445 )
( 1.5452261306532664 , 0.22995203317967416 )
( 1.5703517587939695 , 0.22368242071154 )
( 1.5954773869346734 , 0.21757512548339789 )
( 1.6206030150753765 , 0.21162640719204842 )
( 1.6457286432160805 , 0.20583258356249307 )
( 1.6708542713567844 , 0.20019003152959083 )
( 1.6959798994974875 , 0.19469518820301257 )
( 1.7211055276381906 , 0.1893445516349841 )
( 1.7462311557788945 , 0.184134681408809 )
( 1.7713567839195985 , 0.17906219906451462 )
( 1.7964824120603016 , 0.17412378837661655 )
( 1.8216080402010046 , 0.16931619549772373 )
( 1.8467336683417086 , 0.1646362289805621 )
( 1.8718592964824126 , 0.16008075968993804 )
( 1.8969849246231156 , 0.15564672061521218 )
( 1.9221105527638196 , 0.151331106592975 )
( 1.9472361809045227 , 0.1471309739488267 )
( 1.9723618090452257 , 0.14304344006641645 )
( 1.9974874371859297 , 0.13906568289124546 )
( 2.0226130653266337 , 0.13519494037611357 )
( 2.0477386934673367 , 0.13142850987452617 )
( 2.07286432160804 , 0.12776374748787123 )
( 2.0979899497487438 , 0.12419806737169245 )
( 2.123115577889447 , 0.12072894100595535 )
( 2.148241206030151 , 0.11735389643379751 )
( 2.1733668341708547 , 0.11407051747289132 )
( 2.198492462311558 , 0.11087644290320307 )
( 2.223618090452261 , 0.10776936563462222 )
( 2.248743718592965 , 0.10474703185764747 )
( 2.273869346733669 , 0.10180724018004862 )
( 2.298994974874372 , 0.09894784075218051 )
( 2.324120603015075 , 0.09616673438339679 )
( 2.349246231155779 , 0.09346187165180758 )
( 2.374371859296483 , 0.09083125200942684 )
( 2.399497487437186 , 0.08827292288458251 )
( 2.42462311557789 , 0.08578497878329479 )
( 2.449748743718593 , 0.08336556039118077 )
( 2.474874371859296 , 0.08101285367729724 )
( 2.5 , 0.07872508900121138 )

Matern 4:
( -2.5 , 0.05811392890300854 )
( -2.4748743718592965 , 0.06079943935374394 )
( -2.449748743718593 , 0.0635972254011509 )
( -2.4246231155778895 , 0.06651121806528212 )
( -2.399497487437186 , 0.06954543552103606 )
( -2.3743718592964824 , 0.07270398136296533 )
( -2.349246231155779 , 0.07599104251061257 )
( -2.3241206030150754 , 0.07941088672934415 )
( -2.298994974874372 , 0.08296785974070364 )
( -2.2738693467336684 , 0.08666638189537673 )
( -2.248743718592965 , 0.09051094438094946 )
( -2.2236180904522613 , 0.09450610493576476 )
( -2.198492462311558 , 0.09865648303934732 )
( -2.1733668341708543 , 0.10296675454907354 )
( -2.148241206030151 , 0.10744164575203738 )
( -2.1231155778894473 , 0.11208592680039957 )
( -2.0979899497487438 , 0.1169044044979283 )
( -2.0728643216080402 , 0.12190191440495565 )
( -2.0477386934673367 , 0.12708331222859545 )
( -2.022613065326633 , 0.1324534644648137 )
( -1.9974874371859297 , 0.1380172382588303 )
( -1.9723618090452262 , 0.1437794904503698 )
( -1.9472361809045227 , 0.14974505577049863 )
( -1.9221105527638191 , 0.15591873415719704 )
( -1.8969849246231156 , 0.16230527715744628 )
( -1.8718592964824121 , 0.16890937338447395 )
( -1.8467336683417086 , 0.17573563299993963 )
( -1.821608040201005 , 0.1827885711922555 )
( -1.7964824120603016 , 0.19007259062397633 )
( -1.771356783919598 , 0.19759196282327035 )
( -1.7462311557788945 , 0.20535080849693058 )
( -1.721105527638191 , 0.21335307674524503 )
( -1.6959798994974875 , 0.2216025231623288 )
( -1.670854271356784 , 0.23010268680928386 )
( -1.6457286432160805 , 0.23885686605180634 )
( -1.620603015075377 , 0.24786809325866876 )
( -1.5954773869346734 , 0.25713910836286513 )
( -1.57035175879397 , 0.2666723312931982 )
( -1.5452261306532664 , 0.276469833290712 )
( -1.5201005025125627 , 0.2865333071316853 )
( -1.4949748743718592 , 0.2968640362869327 )
( -1.4698492462311559 , 0.307462863055953 )
( -1.4447236180904524 , 0.3183301557240356 )
( -1.4195979899497488 , 0.32946577480083705 )
( -1.394472361809045 , 0.3408690384102052 )
( -1.3693467336683416 , 0.35253868691315227 )
( -1.3442211055276383 , 0.36447284685892833 )
( -1.3190954773869348 , 0.37666899437311824 )
( -1.2939698492462313 , 0.3891239181065801 )
( -1.2688442211055275 , 0.4018336818849161 )
( -1.2437185929648242 , 0.4147935872149504 )
( -1.2185929648241207 , 0.42799813582244006 )
( -1.193467336683417 , 0.4414409924138886 )
( -1.1683417085427137 , 0.45511494787487694 )
( -1.14321608040201 , 0.46901188313770775 )
( -1.1180904522613064 , 0.4831227339722861 )
( -1.0929648241206031 , 0.49743745697603675 )
( -1.0678391959798994 , 0.5119449970610588 )
( -1.042713567839196 , 0.5266332567596469 )
( -1.0175879396984924 , 0.5414890676925049 )
( -0.9924623115577889 , 0.5564981645673365 )
( -0.9673366834170856 , 0.5716451620987663 )
( -0.9422110552763818 , 0.5869135352634898 )
( -0.9170854271356785 , 0.602285603326882 )
( -0.8919597989949748 , 0.617742518098673 )
( -0.8668341708542713 , 0.6332642568953568 )
( -0.841708542713568 , 0.6488296207053119 )
( -0.8165829145728642 , 0.6644162380686529 )
( -0.791457286432161 , 0.6800005751971163 )
( -0.7663316582914572 , 0.695557952869151 )
( -0.7412060301507537 , 0.7110625706411609 )
( -0.7160804020100504 , 0.7264875389168098 )
( -0.6909547738693467 , 0.7418049194115731 )
( -0.6658291457286434 , 0.7569857745384242 )
( -0.6407035175879396 , 0.7720002262216722 )
( -0.6155778894472361 , 0.7868175246184501 )
( -0.5904522613065328 , 0.8014061271899986 )
